ratio_pct,ratio_label,metric,mean,std,min,max,negative_ratio,positive_ratio
5,5%,partial_fgsm_minus_partial_clean__annualized_excess_return_with_cost,-0.2530968996998298,0.04630762229750141,-0.2997651400957899,-0.17892560031183485,1.0,0.0
5,5%,partial_fgsm_minus_partial_clean__information_ratio_with_cost,-1.7747215318345437,0.3547269869020741,-2.1357568045808337,-1.204018247735013,1.0,0.0
5,5%,partial_fgsm_minus_partial_clean__max_drawdown_with_cost,-0.04930151952254608,0.004611132051159465,-0.05507124059560267,-0.04243159699518825,1.0,0.0
5,5%,partial_fgsm_minus_partial_clean__rank_ic_mean,-0.013097990184035183,0.00014592540625729843,-0.013288498398398851,-0.012957530200229855,1.0,0.0
5,5%,partial_pgd_minus_partial_clean__annualized_excess_return_with_cost,-0.3623606335521026,0.03500051393974106,-0.4005679217849842,-0.32891383276372604,1.0,0.0
5,5%,partial_pgd_minus_partial_clean__information_ratio_with_cost,-2.6983007426915195,0.2908056921326385,-3.018505781534643,-2.389197441726551,1.0,0.0
5,5%,partial_pgd_minus_partial_clean__max_drawdown_with_cost,-0.05439543260436749,0.003976890828470188,-0.06057736052355739,-0.04984611686663237,1.0,0.0
5,5%,partial_pgd_minus_partial_clean__rank_ic_mean,-0.01450839544602715,0.00018601567768347313,-0.014762277102084928,-0.01433985017466572,1.0,0.0
5,5%,selected_available_count,50875.0,18.027756377319946,50846.0,50892.0,0.0,1.0
10,10%,attackable_count,101670.8,34.651118308071965,101632.0,101719.0,0.0,1.0
10,10%,partial_clean_minus_reference_clean__annualized_excess_return_with_cost,-0.004093622719598633,0.02311995935131399,-0.028479904373716114,0.0232292790896933,0.4,0.6
10,10%,partial_clean_minus_reference_clean__information_ratio_with_cost,-0.015132230799843428,0.17246105621823524,-0.2127007567772825,0.22709830583766344,0.4,0.6
10,10%,partial_clean_minus_reference_clean__max_drawdown_with_cost,-0.0033337725132132623,0.007426591249279042,-0.012308714873500493,0.007115745635447146,0.8,0.2
10,10%,partial_clean_minus_reference_clean__rank_ic_mean,0.00014660361988647896,0.00017378502447412968,-1.164748533123705e-05,0.00040441374492918014,0.2,0.8
10,10%,partial_fgsm_minus_partial_clean__annualized_excess_return_with_cost,-0.3312588013912826,0.0124590466704438,-0.34972963983007643,-0.31742915643835246,1.0,0.0
10,10%,partial_fgsm_minus_partial_clean__information_ratio_with_cost,-2.3932043933440243,0.09000291171120058,-2.5249395792544576,-2.296687180150721,1.0,0.0
10,10%,partial_fgsm_minus_partial_clean__max_drawdown_with_cost,-0.049969315529827876,0.010383118833936477,-0.06570343807348594,-0.0372609427092421,1.0,0.0
10,10%,partial_fgsm_minus_partial_clean__rank_ic_mean,-0.02543768760462151,0.0004725537190040973,-0.025944820675415967,-0.024694862767562345,1.0,0.0
10,10%,partial_pgd_minus_partial_clean__annualized_excess_return_with_cost,-0.41284875170077784,0.02328095818784034,-0.44708345824389334,-0.3854408574053329,1.0,0.0
10,10%,partial_pgd_minus_partial_clean__information_ratio_with_cost,-3.0935101315678395,0.1923614206533856,-3.3575052805708987,-2.861340530914179,1.0,0.0
10,10%,partial_pgd_minus_partial_clean__max_drawdown_with_cost,-0.06610825000279937,0.014080351686754736,-0.08750639587669246,-0.053289722583632376,1.0,0.0
10,10%,partial_pgd_minus_partial_clean__rank_ic_mean,-0.028142244684884316,0.0004944287972518628,-0.028669022274480774,-0.02734575828782742,1.0,0.0
10,10%,selected_available_count,101670.8,34.651118308071965,101632.0,101719.0,0.0,1.0
