unit,split,batch_idx,factor_name,factor_grad_mean_abs
full_e2e,train,1,RSQR5,0.00015308371803257614
full_e2e,train,1,RSQR10,0.00013192262849770486
full_e2e,train,1,RSQR20,0.00013600113743450493
full_e2e,train,1,RSQR30,8.59912506712135e-06
full_e2e,train,1,RSQR60,0.000135915499413386
full_e2e,train,1,RESI5,0.00010613664198899642
full_e2e,train,1,RESI10,0.00011234908743062988
full_e2e,train,1,RESI20,6.589048280147836e-05
full_e2e,train,1,RESI30,0.00011489561438793316
full_e2e,train,1,RESI60,4.20648848376004e-06
full_e2e,train,1,MAX5,8.11098470876459e-06
full_e2e,train,1,MAX10,0.00012428716581780463
full_e2e,train,1,MAX20,0.00014574590022675693
full_e2e,train,1,MAX30,0.00013236365339253098
full_e2e,train,1,MAX60,0.00011195500701433048
full_e2e,train,1,MIN5,0.00013495133316610008
full_e2e,train,1,MIN10,6.930698873475194e-05
full_e2e,train,1,MIN20,0.00016262965800706297
full_e2e,train,1,MIN30,6.972009578021243e-05
full_e2e,train,1,MIN60,2.4414253857685253e-05
full_e2e,train,1,QTLU5,1.4352523294292041e-06
full_e2e,train,1,QTLU10,3.8114179915282875e-05
full_e2e,train,1,QTLU20,2.4190658223233186e-05
full_e2e,train,1,QTLU30,4.402621561894193e-05
full_e2e,train,1,QTLU60,1.3547384014600539e-06
full_e2e,train,1,QTLD5,2.4600700271548703e-05
full_e2e,train,1,QTLD10,0.0001508138229837641
full_e2e,train,1,QTLD20,0.00010105565888807178
full_e2e,train,1,QTLD30,0.00015568941307719797
full_e2e,train,1,QTLD60,0.000156471025547944
full_e2e,train,1,RANK5,1.3844661225448363e-05
full_e2e,train,1,RANK10,0.00019073113799095154
full_e2e,train,1,RANK20,6.964865315239877e-05
full_e2e,train,1,RANK30,5.4589227147516795e-06
full_e2e,train,1,RANK60,0.00016708754992578179
full_e2e,train,1,RSV5,9.551182301947847e-05
full_e2e,train,1,RSV10,0.00013733198284171522
full_e2e,train,1,RSV20,5.473072451422922e-05
full_e2e,train,1,RSV30,6.468955689342692e-05
full_e2e,train,1,RSV60,2.855213278962765e-05
full_e2e,train,1,IMAX5,2.1089667825435754e-06
full_e2e,train,1,IMAX10,0.00015902782615739852
full_e2e,train,1,IMAX20,2.406967178103514e-05
full_e2e,train,1,IMAX30,0.00017269492673221976
full_e2e,train,1,IMAX60,0.0001179418177343905
full_e2e,train,1,IMIN5,0.00012189461995149031
full_e2e,train,1,IMIN10,8.647427603136748e-05
full_e2e,train,1,IMIN20,0.00013629377644974738
full_e2e,train,1,IMIN30,8.171601075446233e-05
full_e2e,train,1,IMIN60,5.670861719409004e-05
full_e2e,train,1,IMXD5,6.366300658555701e-05
full_e2e,train,1,IMXD10,0.00014464845298789442
full_e2e,train,1,IMXD20,6.206730904523283e-05
full_e2e,train,1,IMXD30,3.0865567168802954e-07
full_e2e,train,1,IMXD60,9.926103666657582e-05
full_e2e,train,1,CORR5,0.00018646111129783094
full_e2e,train,1,CORR10,0.0001393949642078951
full_e2e,train,1,CORR20,0.00015943557082209736
full_e2e,train,1,CORR30,2.657348431966966e-06
full_e2e,train,1,CORR60,3.278024814790115e-05
full_e2e,train,1,CORD5,0.00010154568735742941
full_e2e,train,1,CORD10,2.5483363060629927e-05
full_e2e,train,1,CORD20,0.00015943485777825117
full_e2e,train,1,CORD30,5.6360946473432705e-05
full_e2e,train,1,CORD60,0.00011446776625234634
full_e2e,train,1,CNTP5,7.130713493097574e-05
full_e2e,train,1,CNTP10,0.00019109933055005968
full_e2e,train,1,CNTP20,8.703145431354642e-05
full_e2e,train,1,CNTP30,9.259771468350664e-05
full_e2e,train,1,CNTP60,0.00012866717588622123
full_e2e,train,1,CNTN5,0.00011107579484814778
full_e2e,train,1,CNTN10,0.0001108549622585997
full_e2e,train,1,CNTN20,0.00010210496839135885
full_e2e,train,1,CNTN30,0.00014798280608374625
full_e2e,train,1,CNTN60,6.993518763920292e-05
full_e2e,train,1,CNTD5,6.438941636588424e-05
full_e2e,train,1,CNTD10,5.387927376432344e-05
full_e2e,train,1,CNTD20,5.696065636584535e-05
full_e2e,train,1,CNTD30,0.00015849318879190832
full_e2e,train,1,CNTD60,5.242243787506595e-05
full_e2e,train,1,SUMP5,9.12252435227856e-05
full_e2e,train,1,SUMP10,9.063372272066772e-05
full_e2e,train,1,SUMP20,0.00018229206034447998
full_e2e,train,1,SUMP30,4.1655341192381456e-05
full_e2e,train,1,SUMP60,0.00010819932504091412
full_e2e,train,1,SUMN5,0.00017190111975651234
full_e2e,train,1,SUMN10,0.0001690670324023813
full_e2e,train,1,SUMN20,0.00012521035387180746
full_e2e,train,1,SUMN30,2.1933905372861773e-05
full_e2e,train,1,SUMN60,5.5237662309082225e-05
full_e2e,train,1,SUMD5,6.142475285741966e-06
full_e2e,train,1,SUMD10,0.00012973560660611838
full_e2e,train,1,SUMD20,0.00015584923676215112
full_e2e,train,1,SUMD30,0.00015368223830591887
full_e2e,train,1,SUMD60,3.139627369819209e-05
full_e2e,train,1,VMA5,0.00015995654393918812
full_e2e,train,1,VMA10,6.463639147114009e-05
full_e2e,train,1,VMA20,5.6792043324094266e-05
full_e2e,train,1,VMA30,4.4090134906582534e-05
full_e2e,train,1,VMA60,8.574301318731159e-06
full_e2e,train,1,VSTD5,0.00011742736387532204
full_e2e,train,1,VSTD10,6.520716124214232e-05
full_e2e,train,1,VSTD20,6.0958671383559704e-05
full_e2e,train,1,VSTD30,3.977311735070543e-06
full_e2e,train,1,VSTD60,4.336247729952447e-05
full_e2e,train,1,WVMA5,0.0001188513488159515
full_e2e,train,1,WVMA10,0.00013333394599612802
full_e2e,train,1,WVMA20,0.000143529410706833
full_e2e,train,1,WVMA30,7.898594776634127e-05
full_e2e,train,1,WVMA60,6.483167817350477e-05
full_e2e,train,1,VSUMP5,9.30227106437087e-05
full_e2e,train,1,VSUMP10,3.4636639611562714e-05
full_e2e,train,1,VSUMP20,0.00010015440784627572
full_e2e,train,1,VSUMP30,4.4423435610951856e-05
full_e2e,train,1,VSUMP60,3.786339584621601e-05
full_e2e,train,1,VSUMN5,0.0001431564160156995
full_e2e,train,1,VSUMN10,3.210190698155202e-05
full_e2e,train,1,VSUMN20,8.212168904719874e-05
full_e2e,train,1,VSUMN30,7.631858170498163e-05
full_e2e,train,1,VSUMN60,2.4270160793093964e-05
full_e2e,train,1,VSUMD5,0.00015805994917172939
full_e2e,train,1,VSUMD10,2.9721821192651987e-05
full_e2e,train,1,VSUMD20,6.696298805763945e-05
full_e2e,train,1,VSUMD30,7.03504920238629e-05
full_e2e,train,1,VSUMD60,7.318549614865333e-05
full_e2e,train,2,KMID,4.059817365487106e-05
full_e2e,train,2,KLEN,7.786493370076641e-05
full_e2e,train,2,KMID2,3.698886575875804e-05
full_e2e,train,2,KUP,3.77046708308626e-05
full_e2e,train,2,KUP2,0.0001723225723253563
full_e2e,train,2,KLOW,0.00016581027011852711
full_e2e,train,2,KLOW2,3.0049533961573616e-05
full_e2e,train,2,KSFT,2.4834312171151396e-06
full_e2e,train,2,KSFT2,8.723667269805446e-05
full_e2e,train,2,OPEN0,7.233942596940324e-05
full_e2e,train,2,HIGH0,0.0001728426868794486
full_e2e,train,2,LOW0,1.2959912055521272e-05
full_e2e,train,2,ROC5,0.00016887929814402014
