unit,split,batch_idx,column,grad_mean_abs,grad_mean_abs_scaled,relative_raw_score,relative_scaled_score
subset_e2e,train,0,open,3542.411376953125,169109.48194948863,1.0,0.9910105294750466
subset_e2e,train,0,high,24788.19140625,1232066.9347729236,6.997547367739839,7.220123267497863
subset_e2e,train,0,low,17703.376953125,822758.2038450986,4.99754971099712,4.821503997428189
subset_e2e,train,0,close,3542.411376953125,170643.47645132337,1.0,1.0
subset_e2e,train,0,volume,4.142129694795216e-11,0.002644147544469122,1.1692966327242085e-14,1.5495157502978872e-08
subset_e2e,train,1,open,4632.03857421875,104751.2100439705,1.0,0.9992251617308441
subset_e2e,train,1,high,32412.912109375,747424.672860112,6.997547967277417,7.129707993891163
subset_e2e,train,1,low,23148.845703125,514853.2826571353,4.997550286383213,4.911202022533048
subset_e2e,train,1,close,4632.03857421875,104832.43822895922,1.0,1.0
subset_e2e,train,1,volume,3.8673030056113333e-11,0.0012736381580069484,8.349030224264921e-15,1.2149275353352554e-08
subset_e2e,train,2,open,9382.943359375,165870.68367241323,1.0,0.9955094007421604
subset_e2e,train,2,high,65657.6015625,1202046.6328173727,6.997548535438827,7.214347325314455
subset_e2e,train,2,low,46891.73828125,808070.4696429148,4.997551033322392,4.849812704578881
subset_e2e,train,2,close,9382.943359375,166618.90239183605,1.0,1.0
subset_e2e,train,2,volume,4.577205975353493e-11,0.0014968873318846332,4.878219765421649e-15,8.983898647732163e-09
subset_e2e,train,3,open,3742.85693359375,60974.47675666679,1.0,0.997959825111175
subset_e2e,train,3,high,26190.81640625,435077.28344551474,6.997546759315368,7.120842568766411
subset_e2e,train,3,low,18705.111328125,300324.7319172956,4.997549107538305,4.9153684112258516
subset_e2e,train,3,close,3742.85693359375,61099.12966674194,1.0,1.0
subset_e2e,train,3,volume,4.06197298019606e-11,0.0012520451661712784,1.0852600172178922e-14,2.0492029477349552e-08
subset_e2e,train,4,open,1752.866455078125,36857.07235062914,0.9999999303596098,0.9968891024056251
subset_e2e,train,4,high,12265.763671875,266064.11925732717,6.997545524445414,7.196350771041438
subset_e2e,train,4,low,8760.0361328125,180152.0190952625,4.997548727903365,4.872649213804734
subset_e2e,train,4,close,1752.8665771484375,36972.08873252617,1.0,1.0
subset_e2e,train,4,volume,3.544752338879853e-11,0.0018625654449881401,2.0222602136931918e-14,5.0377609403213114e-08
subset_e2e,train,5,open,3544.39990234375,49348.684410366695,1.0,0.9979448221733905
subset_e2e,train,5,high,24802.103515625,354408.88349923864,6.997546608446891,7.166969382187214
subset_e2e,train,5,low,17713.314453125,242000.42860117555,4.997549639196185,4.8938097858501735
subset_e2e,train,5,close,3544.39990234375,49450.313598393,1.0,1.0
subset_e2e,train,5,volume,4.36013898597043e-11,0.0013885204435719334,1.2301487151851203e-14,2.8079102892020014e-08
subset_e2e,train,6,open,3245.557373046875,50177.59543065773,1.0,0.9979216580248113
subset_e2e,train,6,high,22710.962890625,361040.90580829047,6.99755397308054,7.180306992527924
subset_e2e,train,6,low,16219.8486328125,245723.63151668105,4.997554123526578,4.886900850358063
subset_e2e,train,6,close,3245.557373046875,50282.098827251,1.0,1.0
subset_e2e,train,6,volume,3.290530348198928e-11,0.0014460126369552628,1.0138567802022346e-14,2.8758000773260853e-08
subset_e2e,train,7,open,5772.38134765625,142364.08765459154,1.0,0.9969877179418992
subset_e2e,train,7,high,40392.546875,1021569.3045758605,6.997553425918493,7.154136035765419
subset_e2e,train,7,low,28847.787109375,698103.1545414627,4.997553933453828,4.888875294329795
subset_e2e,train,7,close,5772.38134765625,142794.22413395066,1.0,1.0
subset_e2e,train,7,volume,4.242579204616348e-11,0.0012747945867116472,7.349790232308466e-15,8.927494052671232e-09
subset_e2e,train,8,open,5870.79833984375,107864.65464948677,1.0,0.9961410955127464
subset_e2e,train,8,high,41081.17578125,771813.3892227039,6.997545036156593,7.127775429032704
subset_e2e,train,8,low,29339.59375,530672.0562441945,4.997547531292119,4.900810605502726
subset_e2e,train,8,close,5870.79833984375,108282.50649970956,1.0,1.0
subset_e2e,train,8,volume,4.987631488373445e-11,0.0016297929795508065,8.495661406939401e-15,1.505130452032137e-08
subset_e2e,train,9,open,4981.4736328125,90041.67894157022,1.0,1.0
subset_e2e,train,9,high,34858.078125,642400.0834436417,6.997543436824217,7.134474734311734
subset_e2e,train,9,low,24895.146484375,441627.9270364158,4.997546573446259,4.904705601091653
subset_e2e,train,9,close,4981.4736328125,90032.07301917113,1.0,0.9998933169337577
subset_e2e,train,9,volume,4.117976099005105e-11,0.0014474379610581178,8.266582145251924e-15,1.607519959725971e-08
subset_e2e,train,10,open,26725.48828125,610263.7057537213,1.0,0.9967859701042432
subset_e2e,train,10,high,187012.6875,4368669.998902559,6.9975405325411355,7.135651230549748
subset_e2e,train,10,low,133561.84375,3000480.341920674,4.997545502048094,4.900892319503424
subset_e2e,train,10,close,26725.48828125,612231.4358917996,1.0,1.0
subset_e2e,train,10,volume,4.881667986511573e-11,0.0010536410584037481,1.826596369405322e-15,1.720984903150186e-09
subset_e2e,train,11,open,3877.623779296875,85541.85769649735,1.0,0.9982775688033841
subset_e2e,train,11,high,27133.87109375,618210.5737169981,6.997551242237883,7.214546949966697
subset_e2e,train,11,low,19378.62890625,416609.06699142605,4.997552627388701,4.861847728549813
subset_e2e,train,11,close,3877.623779296875,85689.4518816392,1.0,1.0
subset_e2e,train,11,volume,3.1810498679618604e-11,0.0013412988382497382,8.203606252225626e-15,1.56530215656233e-08
subset_e2e,train,12,open,1493.1695556640625,30255.03028541105,0.9999999182475279,0.9980931331887911
subset_e2e,train,12,high,10448.5244140625,216650.10031592287,6.997546608310662,7.147141331213761
subset_e2e,train,12,low,7462.18896484375,148588.76259164605,4.997549224389771,4.90184350214497
subset_e2e,train,12,close,1493.169677734375,30312.832820269745,1.0,1.0
subset_e2e,train,12,volume,3.9895555609126276e-11,0.0008786102462464418,2.6718701969397636e-14,2.8984762046354442e-08
subset_e2e,train,13,open,15153.845703125,379832.1622701958,1.0,0.9963544956872931
subset_e2e,train,13,high,106039.734375,2732638.137997359,6.997546131351507,7.168103610834911
subset_e2e,train,13,low,75732.0859375,1863488.7641732097,4.99754896685286,4.888199558324827
subset_e2e,train,13,close,15153.845703125,381221.9083812982,1.0,1.0
subset_e2e,train,13,volume,4.1326227162574725e-11,0.001494053370301146,2.727111518236754e-15,3.919117284326676e-09
subset_e2e,train,14,open,8211.982421875,289904.68230217695,1.0,0.9968400570806161
subset_e2e,train,14,high,57463.7109375,2096512.8918890655,6.997544318218305,7.2088798781200305
subset_e2e,train,14,low,41039.76953125,1417359.1580916494,4.9975471722794556,4.873603188592598
subset_e2e,train,14,close,8211.982421875,290823.66849422455,1.0,1.0
subset_e2e,train,14,volume,4.351789067991163e-11,0.0029897302667493686,5.2993161022835474e-15,1.0280216470100478e-08
subset_e2e,train,15,open,9363.8291015625,527855.3248524405,1.0,0.999459403012653
subset_e2e,train,15,high,65523.80078125,3752765.810203463,6.997543427006409,7.105615686193465
subset_e2e,train,15,low,46796.1796875,2603317.046880305,4.997547390061971,4.929209916097757
subset_e2e,train,15,close,9363.8291015625,528140.8361973837,1.0,1.0
subset_e2e,train,15,volume,4.599634909063788e-11,0.0027041606882347025,4.912130346650888e-15,5.120150730446582e-09
subset_e2e,train,16,open,2988.3984375,53092.72106297314,1.0,0.9967810723630557
subset_e2e,train,16,high,20911.462890625,382887.6379104629,6.997548462151811,7.1884646834783315
subset_e2e,train,16,low,14934.673828125,259323.74411432818,4.997551076428375,4.868633488211869
subset_e2e,train,16,close,2988.3984375,53264.174586609006,1.0,1.0
