split,batch_idx,group_name,factor_name,loss,grad_is_none,grad_finite_rate,grad_mean_abs,grad_max_abs,open_grad_mean_abs,open_grad_mean_abs_scaled,open_relative_scaled_score,high_grad_mean_abs,high_grad_mean_abs_scaled,high_relative_scaled_score,low_grad_mean_abs,low_grad_mean_abs_scaled,low_relative_scaled_score,close_grad_mean_abs,close_grad_mean_abs_scaled,close_relative_scaled_score,volume_grad_mean_abs,volume_grad_mean_abs_scaled,volume_relative_scaled_score
train,0,rolling_maxmin,MAX5,0.550387442111969,False,1.0,2.2930214981897734e-05,0.0008599254069849849,0.0,0.0,0.0,5.612792301690206e-05,0.0018791174453732518,1.879117445373252e+17,0.0,0.0,0.0,5.85231464356184e-05,0.0019172784559851053,1.9172784559851053e+17,0.0,0.0,0.0
train,0,rolling_maxmin,MIN5,0.458351194858551,False,1.0,2.0325252990005538e-05,0.0005854237824678421,0.0,0.0,0.0,0.0,0.0,0.0,5.1806040573865175e-05,0.0016591574993298774,1.6591574993298774e+17,4.9820235290098935e-05,0.0016321621377431705,1.6321621377431706e+17,0.0,0.0,0.0
train,0,rolling_maxmin,RSV5,0.16492728888988495,False,1.0,0.00020926454453729093,0.005045589525252581,0.0,0.0,0.0,0.0003473000251688063,0.011627323816645552,2.0644396232326785,0.000175861336174421,0.00563219368868656,1.0,0.0005231614341028035,0.017139306542771626,3.043096081230216,0.0,0.0,0.0
train,0,quantile,QTLU5,0.51552414894104,False,1.0,8.560044989280868e-06,0.000586939393542707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.280022403690964e-05,0.0014021793504827573,1.4021793504827574e+17,0.0,0.0,0.0
train,0,quantile,QTLD5,0.4843837022781372,False,1.0,8.118835467030294e-06,0.0005713925929740071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0594179154140875e-05,0.0013299070516698125,1.3299070516698126e+17,0.0,0.0,0.0
train,0,rank,RANK5,0.2476416528224945,False,1.0,7.567998545709997e-05,0.0028632981702685356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037839991273358464,0.012396770245920896,1.2396770245920896e+18,0.0,0.0,0.0
train,0,idx,IMAX5,0.22779998183250427,False,1.0,2.4005672457860783e-05,0.0009390448103658855,0.0,0.0,0.0,0.00012002835137536749,0.0040184520802760415,4.0184520802760416e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0,idx,IMIN5,0.2043333202600479,False,1.0,2.5812098101596348e-05,0.0008057075901888311,0.0,0.0,0.0,0.0,0.0,0.0,0.0001290604704990983,0.004133333586656018,4.1333335866560186e+17,0.0,0.0,0.0,0.0,0.0,0.0
train,0,idx,IMXD5,0.15133333206176758,False,1.0,5.713205609936267e-05,0.0008454208727926016,0.0,0.0,0.0,0.00013572550960816443,0.004543980236184297,4.5439802361842976e+17,0.00014993478544056416,0.004801861345096192,4.8018613450961926e+17,0.0,0.0,0.0,0.0,0.0,0.0
test,0,greater_less_pair,KUP,8.529883780283853e-05,False,1.0,6.533037435474398e-07,3.7724475987488404e-05,8.039529575398774e-07,1.2827760181279772e-05,1.0,1.6165840861503966e-06,2.633870424285055e-05,2.0532582360939373,0.0,0.0,0.0,8.459816172035062e-07,1.352207675589859e-05,1.0541260956555822,0.0,0.0,0.0
test,0,greater_less_pair,KUP2,0.05692959576845169,False,1.0,0.0009583602077327669,0.02469138242304325,0.0011961397249251604,0.019085437015611495,1.0,0.0013634561328217387,0.02221453751657898,1.1639522583846493,0.0010324445320293307,0.016171524415609873,0.8473227205843857,0.0011997608235105872,0.019176844525130687,1.0047893851969134,0.0,0.0,0.0
test,0,greater_less_pair,KLOW,4.894804078503512e-05,False,1.0,5.85595273605577e-07,3.156514867441729e-05,7.297427941921342e-07,1.1643673264861867e-05,1.0062533160200222,0.0,0.0,0.0,1.474297278036829e-06,2.3092411929169325e-05,1.9956602654551228,7.23936068425246e-07,1.1571314180524087e-05,1.0,0.0,0.0,0.0
test,0,greater_less_pair,KLOW2,0.06584550440311432,False,1.0,0.0010753704700618982,0.02380930259823799,0.0013410750543698668,0.021398004723056308,1.0,0.0012585521908476949,0.020505357075403685,0.9582836035786647,0.0014298742171376944,0.02239659865139987,1.0466676188396005,0.0013473512372002006,0.021535913400578477,1.0064449316329749,0.0,0.0,0.0
